dummy index,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
1314,EBU3B.RM-2215..ACTCLGSP,NAE 06 N2 1 VMA129 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2215,VAV,129,VAV -> Rm_2215,EBU3B,,Analog Input
1330,EBU3B.RM-2217..ACTCLGSP,NAE 06 N2 1 VMA130 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2217,VAV,130,VAV -> Rm_2217,EBU3B,,Analog Input
1346,EBU3B.RM-2218..ACTCLGSP,NAE 06 N2 1 VMA111 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2218,VAV,111,VAV -> Rm_2218,EBU3B,,Analog Input
1362,EBU3B.RM-2219..ACTCLGSP,NAE 06 N2 1 VMA118 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2219,VAV,118,VAV -> Rm_2219,EBU3B,,Analog Input
1378,EBU3B.RM-2221..ACTCLGSP,NAE 06 N2 1 VMA110 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2221,VAV,110,VAV -> Rm_2221,EBU3B,,Analog Input
1394,EBU3B.RM-2226..ACTCLGSP,NAE 06 N2 1 VMA112 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2226,VAV,112,VAV -> Rm_2226,EBU3B,,Analog Input
1410,EBU3B.RM-2227..ACTCLGSP,NAE 06 N2 1 VMA120 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2227,VAV,120,VAV -> Rm_2227,EBU3B,,Analog Input
1426,EBU3B.RM-2229A..ACTCLGSP,NAE 06 N2 1 VMA123 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2229A,VAV,123,VAV -> Rm_2229A,EBU3B,,Analog Input
1442,EBU3B.RM-2230..ACTCLGSP,NAE 06 N2 1 VMA113 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2230,VAV,113,VAV -> Rm_2230,EBU3B,,Analog Input
1459,EBU3B.RM-2231..ACTCLGSP,NAE 06 N2 1 VMA131 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2231,VAV,131,VAV -> Rm_2231,EBU3B,,Analog Input
1475,EBU3B.RM-2232..ACTCLGSP,NAE 06 N2 1 VMA114 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2232,VAV,114,VAV -> Rm_2232,EBU3B,,Analog Input
1492,EBU3B.RM-2234..ACTCLGSP,NAE 06 N2 1 VMA115 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2234,VAV,115,VAV -> Rm_2234,EBU3B,,Analog Input
1510,EBU3B.RM-2236..ACTCLGSP,NAE 06 N2 1 VMA116 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2236,VAV,116,VAV -> Rm_2236,EBU3B,,Analog Input
1527,EBU3B.RM-2238..ACTCLGSP,NAE 06 N2 1 VMA117 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2238,VAV,117,VAV -> Rm_2238,EBU3B,,Analog Input
